                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1056,                 4.9293,                 4.2688,                0.00032,                0.02434,                 0.0004,                0.00015,                  4.251,                 4.7841,                  4.203,              0.0032979,              0.0032979,              0.0032979
                      2,                  3.626,                 3.8331,                 3.4098,                0.90354,                0.01665,                0.00887,                0.00263,                 3.3459,                 6.2685,                 3.1828,              0.0066246,              0.0066246,              0.0066246
                      3,                 3.1775,                 3.2203,                 2.7322,                0.58682,                0.03113,                0.03223,                0.01086,                 2.8231,                 3.0476,                 2.5418,              0.0099448,              0.0099448,              0.0099448
                      4,                 2.7607,                  2.811,                 2.3197,                 0.7128,                0.04568,                0.05198,                0.02009,                 2.6094,                 3.5973,                 2.2265,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.5252,                  2.486,                 2.0655,                0.48947,                0.07483,                 0.0941,                0.03486,                 2.4085,                 2.3209,                 2.0635,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.3743,                 2.3142,                  1.934,                0.47771,                0.12889,                0.10759,                 0.0436,                 2.5296,                 2.4939,                 2.0651,              0.0099505,              0.0099505,              0.0099505
                      7,                  2.284,                 2.2219,                 1.8725,                0.36242,                0.24704,                0.19188,                 0.0865,                 2.0764,                 1.8109,                 1.7898,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.1619,                 2.0416,                 1.7923,                0.46268,                0.25425,                0.19296,                 0.0918,                 2.0054,                 1.9536,                  1.724,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.1007,                 1.9588,                 1.7538,                0.34607,                0.27463,                0.25184,                0.11814,                 1.9242,                 1.6971,                 1.6666,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.0628,                 1.8933,                 1.7032,                0.42158,                0.29895,                0.26596,                0.12938,                  1.892,                 1.6654,                 1.6344,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.9763,                 1.8304,                  1.656,                0.33934,                0.31056,                0.28697,                0.13987,                 1.8234,                 1.5541,                 1.6095,               0.009901,               0.009901,               0.009901
