                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1242,                 4.9254,                 4.2359,                0.00038,                0.03029,                0.00054,                0.00029,                 4.1621,                 4.9742,                  4.158,              9.997e-05,              9.997e-05,              9.997e-05
                      2,                 3.9928,                 4.7409,                 4.1934,                0.00037,                0.03031,                0.00049,                0.00022,                 4.1611,                 4.9956,                 4.1551,             0.00020742,             0.00020742,             0.00020742
                      3,                 4.0167,                 4.4953,                  4.123,                0.00037,                0.03031,                0.00058,                0.00024,                 4.1597,                 5.0318,                 4.1491,             0.00031467,             0.00031467,             0.00031467
                      4,                 3.9006,                 4.0293,                 3.9758,                0.00036,                0.03031,                0.00068,                0.00028,                 4.1721,                 5.1839,                 4.1597,             0.00042169,             0.00042169,             0.00042169
                      5,                 3.7354,                 3.8732,                 3.8583,                0.00126,                0.03023,                0.00106,                0.00041,                 4.2318,                 5.6081,                 4.2683,             0.00052851,             0.00052851,             0.00052851
                      6,                 3.6648,                 3.6549,                 3.7009,                0.00076,                0.03028,                0.00073,                 0.0003,                 4.2427,                 5.5574,                 4.2947,             0.00063511,             0.00063511,             0.00063511
                      7,                 3.5194,                 3.5699,                 3.5661,                 0.0009,                0.03045,                0.00106,                0.00039,                 4.3059,                 5.8752,                 4.4254,              0.0007415,              0.0007415,              0.0007415
                      8,                 3.4793,                 3.4144,                 3.4245,                0.00322,                0.02986,                0.00215,                0.00082,                 4.2928,                  5.847,                  4.446,             0.00076367,             0.00076367,             0.00076367
                      9,                 3.4419,                 3.3605,                 3.2567,                0.00266,                0.01908,                0.00165,                0.00056,                 4.2936,                 5.6642,                 4.4005,             0.00076291,             0.00076291,             0.00076291
                     10,                 3.3722,                 3.2207,                 3.1321,                0.00373,                0.01435,                0.00206,                0.00081,                 4.1543,                 5.2884,                 4.2874,             0.00076215,             0.00076215,             0.00076215
                     11,                  3.353,                 3.1322,                 3.0517,                0.00276,                0.02644,                0.00177,                0.00051,                 3.8939,                 4.8045,                 4.0297,             0.00076139,             0.00076139,             0.00076139
                     12,                 3.3483,                 3.1291,                 2.9381,                0.89638,                0.01191,                0.00466,                0.00128,                  3.443,                 3.4537,                 3.1441,             0.00076063,             0.00076063,             0.00076063
                     13,                 3.3059,                 3.0069,                 2.8788,                0.78233,                0.00921,                0.00303,                0.00092,                 3.5623,                 3.5921,                 3.0904,             0.00075986,             0.00075986,             0.00075986
                     14,                 3.2787,                 3.0009,                  2.809,                0.89906,                0.01313,                0.00605,                0.00165,                 3.4662,                 3.9926,                 2.9227,              0.0007591,              0.0007591,              0.0007591
                     15,                 3.2706,                 2.9325,                 2.7898,                0.68912,                0.02534,                0.01478,                0.00401,                 3.2665,                 3.6544,                 2.8421,             0.00075834,             0.00075834,             0.00075834
                     16,                 3.1642,                 2.8448,                 2.7196,                0.68726,                0.03313,                0.01194,                0.00375,                 3.2377,                  3.999,                 2.8056,             0.00075758,             0.00075758,             0.00075758
                     17,                 3.1187,                   2.81,                 2.7138,                0.70174,                0.02293,                0.01839,                0.00612,                 3.1749,                 2.9773,                 2.8304,             0.00075682,             0.00075682,             0.00075682
                     18,                 3.0592,                 2.7945,                 2.6259,                0.79593,                 0.0238,                0.01539,                0.00459,                 3.2058,                 3.0345,                 2.7443,             0.00075606,             0.00075606,             0.00075606
                     19,                 2.9956,                  2.677,                 2.6017,                0.69022,                0.02774,                0.02101,                0.00718,                   3.07,                 2.9031,                 2.6899,              0.0007553,              0.0007553,              0.0007553
                     20,                 2.9268,                 2.6414,                 2.5247,                0.72513,                0.04001,                0.02416,                0.00737,                 3.0035,                 2.7431,                 2.6451,             0.00075454,             0.00075454,             0.00075454
                     21,                 2.9321,                 2.6924,                 2.5428,                0.55391,                0.02796,                0.02059,                0.00668,                 3.0264,                 2.8705,                 2.6335,             0.00075377,             0.00075377,             0.00075377
                     22,                 2.9193,                 2.6362,                 2.4761,                0.80086,                0.02979,                0.02773,                0.00816,                  3.108,                 3.0576,                 2.6714,             0.00075301,             0.00075301,             0.00075301
                     23,                 2.8577,                 2.5516,                 2.4391,                0.61315,                0.04835,                0.02898,                0.00916,                 3.0468,                 2.8771,                 2.5743,             0.00075225,             0.00075225,             0.00075225
                     24,                 2.8301,                 2.4748,                 2.4236,                0.40351,                0.07227,                0.03339,                0.01076,                 2.8735,                 2.6216,                 2.5316,             0.00075149,             0.00075149,             0.00075149
                     25,                 2.7498,                 2.4282,                 2.3709,                0.45424,                0.06914,                0.04529,                0.01631,                 2.7964,                 2.5425,                 2.4399,             0.00075073,             0.00075073,             0.00075073
                     26,                 2.7689,                 2.3819,                 2.3923,                0.40973,                 0.0695,                0.03764,                0.01247,                 2.7791,                 2.6222,                 2.4408,             0.00074997,             0.00074997,             0.00074997
                     27,                 2.7151,                 2.3777,                 2.3437,                0.40806,                0.06188,                0.03866,                0.01263,                 2.8327,                 2.6166,                  2.484,             0.00074921,             0.00074921,             0.00074921
                     28,                 2.7208,                 2.3525,                 2.3622,                0.39692,                0.06229,                0.04235,                0.01556,                 2.7803,                  2.583,                 2.4297,             0.00074844,             0.00074844,             0.00074844
