round:0, mAP50: 0.0006566618681851476, mAP95: 0.0002195974067703556
round:1, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:2, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:3, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:4, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:5, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:6, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:7, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:8, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:9, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:10, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:11, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:12, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:13, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:14, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:15, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:16, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:17, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:18, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:19, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:20, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:21, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:22, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:23, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:0, mAP50: 0.0006566618681851476, mAP95: 0.0002195974067703556
round:1, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:2, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:3, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:4, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:5, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:6, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:7, mAP50: 0.000660675738390913, mAP95: 0.00021536685400327607
round:0, mAP50: 0.9223550277259499, mAP95: 0.7451470050323064
